region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,ER,sqfeet/p,price/p,laundry_score,parking_score
reno / tahoe,1075,apartment,890,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ca,2,445.0,537.5,2,3
reno / tahoe,1495,apartment,1450,2,2.0,0,0,1,0,0,0,w/d in unit,attached garage,ca,2,725.0,747.5,5,6
reno / tahoe,995,condo,654,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca,1,654.0,995.0,2,4
reno / tahoe,2295,apartment,1347,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,3,449.0,765.0,5,6
reno / tahoe,1325,apartment,710,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca,1,710.0,1325.0,5,4
reno / tahoe,895,house,582,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,ca,1,582.0,895.0,1,3
reno / tahoe,1975,apartment,2128,4,3.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,4,532.0,493.75,4,6
reno / tahoe,1050,duplex,720,2,1.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,2,360.0,525.0,4,6
reno / tahoe,1595,house,1440,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,2,720.0,797.5,5,6
reno / tahoe,1045,apartment,886,2,1.5,1,0,1,0,0,0,laundry on site,off-street parking,ca,2,443.0,522.5,2,3
reno / tahoe,1195,house,844,2,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,ca,2,422.0,597.5,4,3
reno / tahoe,875,apartment,756,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca,2,378.0,437.5,2,3
reno / tahoe,1325,apartment,708,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ca,1,708.0,1325.0,5,4
reno / tahoe,1395,duplex,988,2,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca,2,494.0,697.5,4,5
reno / tahoe,775,apartment,600,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca,1,600.0,775.0,2,3
reno / tahoe,1125,apartment,856,1,1.0,1,0,1,0,0,0,laundry on site,off-street parking,ca,1,856.0,1125.0,2,3
reno / tahoe,1595,house,1180,1,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca,1,1180.0,1595.0,5,6
reno / tahoe,1000,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca,1,600.0,1000.0,2,4
reno / tahoe,1395,duplex,988,2,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca,2,494.0,697.5,4,5
sacramento,1400,house,1010,2,1.0,1,1,1,1,0,0,w/d in unit,attached garage,ca,2,505.0,700.0,5,6
reno / tahoe,1995,house,1672,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,557.3333333333334,665.0,4,6
reno / tahoe,1040,apartment,850,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca,2,425.0,520.0,2,3
reno / tahoe,825,apartment,483,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,ca,2,241.5,412.5,2,3
reno / tahoe,1095,apartment,870,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ca,2,435.0,547.5,5,3
reno / tahoe,1195,house,1076,2,1.5,0,0,0,0,0,0,w/d hookups,off-street parking,ca,2,538.0,597.5,4,3
reno / tahoe,1995,house,1444,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,3,481.3333333333333,665.0,5,6
reno / tahoe,1595,house,1048,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,3,349.3333333333333,531.6666666666666,5,6
reno / tahoe,925,apartment,703,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,ca,2,351.5,462.5,2,3
reno / tahoe,1140,apartment,783,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,ca,2,391.5,570.0,2,3
reno / tahoe,875,apartment,654,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca,1,654.0,875.0,2,3
reno / tahoe,1150,apartment,850,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca,2,425.0,575.0,2,3
reno / tahoe,2100,apartment,1944,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca,3,648.0,700.0,5,6
reno / tahoe,1125,apartment,420,1,1.0,0,0,0,0,0,1,laundry on site,off-street parking,ca,1,420.0,1125.0,2,3
reno / tahoe,2195,house,2523,4,2.5,1,1,0,0,0,0,w/d in unit,attached garage,ca,4,630.75,548.75,5,6
reno / tahoe,1995,house,2172,3,3.5,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,724.0,665.0,4,6
